SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
192.168.220.51,94.140.14.14,60551,443,2025-05-01 22:34:29,120.108316,45891,382.0801217461079,56068,466.8119732858464,19957.317240874847,141.27036929545716,156.61904761904762,90.0,54,1.4147138133344548,0.7264017793032523,0.9019999255714808,973.3623163898992,31.198755045512616,50.552363528417814,52.971327,0.818652,-0.2326019228703267,1.5940928237638483,0.617157198356796,0.0528078028730874,0.2297994840574874,0.1728900202702702,0.1070385,0.000103,0.8596823514250792,0.7519034299791781,1.32916569561536,False
94.140.14.14,192.168.220.51,443,60551,2025-05-01 22:36:29,121.315902,28782,237.24836996224943,22445,185.01284357593943,18149.78793686702,134.72114881067122,165.7831715210356,113.0,54,1.1753872050604424,0.829737368689817,0.8126346454505907,1201.985013744752,34.66965551811486,65.51616886084142,77.562318,0.695566,-1.0423653444896048,1.8696638859585069,0.5291770889679825,1.0245665585984454,1.0122087524806556,0.1838762739726027,6.9e-05,4.7e-05,0.5447708494580977,0.1816120177997728,5.504836108607863,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 22:38:30,123.112926,18593,151.02394690871046,22812,185.29329730982104,19311.164572310405,138.9646162600768,164.30555555555554,105.5,54,1.269507817274126,0.7937672086908447,0.845769431168684,1090.8513446406723,33.02803876467194,65.88579131349206,79.6125755,105.336482,-1.2468300904252267,-1.1944605905181969,0.5012922833015814,0.0373089634780043,0.1931552833292537,0.1662074912280701,0.110873,0.001769,0.8594301477181956,0.851327949170136,1.162133438764236,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 22:40:34,124.598011,18703,150.10673003439837,24487,196.52801680758768,18196.434408989844,134.8941600255172,167.4031007751938,113.0,54,1.2099063613629228,0.8406820632838511,0.8058044289553934,1056.1324739979527,32.49819185736266,66.96195142248062,76.382299,76.268728,-0.8696189270036396,-0.2863782889327384,0.4853232495021388,0.0116846003949126,0.1080953301253696,0.1524141475409836,0.117179,0.002208,0.9778909273911548,1.3895711069735714,0.7092211049259929,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 22:42:39,122.924377,17723,144.17807462225332,23293,189.49048649642532,15207.939227768671,123.32047367638786,154.1954887218045,113.0,54,1.0021569207536754,0.8124805698097874,0.7997670664598979,931.6862750351478,30.52353641102465,64.39148704135337,69.776457,50.461945,-0.5292607533544157,0.4563541345203447,0.4740306182309764,0.0125926898861269,0.1122171550438121,0.1349226666666666,0.10971,0.000476,0.6740324148341593,1.1980937015750894,0.8317146245044978,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 22:44:42,120.003826,39303,327.51455774418395,50447,420.378263606362,17739.318691664637,133.18903367644288,161.7117117117117,103.0,54,1.3224447259150591,0.8087130654718659,0.8236202082498697,1009.9200544215112,31.77923936190908,57.2560599027027,52.88695,41.762396,0.4124494472268171,0.4875404261964043,0.5550371334652208,0.0072533804299271,0.085166780084298,0.1253918412698412,0.1178205,8.7e-05,0.2667005114792584,1.4712877620336775,0.6792051159135662,False
94.140.14.14,192.168.220.51,443,60551,2025-05-01 22:46:42,121.565031,57504,473.0307681984633,46370,381.4419296285952,17973.4569816817,134.0651221671084,163.0675039246468,90.0,54,1.635045030583798,0.8135412265443447,0.8221449334814106,993.7286269364369,31.52346153163445,57.45506356985871,57.481075,36.312527,-0.002475435330779,0.6706920986022343,0.5486628953652721,0.3665224810625792,0.6054110017686986,0.0887176853146853,5.9e-05,3.5e-05,0.4393313883741971,0.1464834386154203,6.82401710122712,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 22:48:44,120.121073,44760,372.62404407593,54331,452.3019870127201,16498.74974193856,128.44745907155408,157.03803486529318,102.0,54,1.2854602635922885,0.8021804059813585,0.8179385279606687,1107.67987601081,33.28182501021857,69.44055216640254,78.639093,81.636047,-0.8291499186814325,-0.3664310725103886,0.4792851435061216,0.0108955765752139,0.104381878576762,0.1216238376623376,0.0990895,0.003678,0.6476508557689729,1.1299455352837002,0.8582353639140696,False
94.140.14.14,192.168.220.51,443,60551,2025-05-01 22:50:44,120.94948,48983,404.98727237190275,43298,357.98417653387185,17794.606812501985,133.39642728537368,156.67402376910016,90.0,54,1.499455985274592,0.7696909569358302,0.8514265739543904,1304.958977011772,36.12421593629088,54.01575056706282,46.283922,13.929241,0.642103505916815,1.109685249300909,0.6687718962905301,0.0588467438107944,0.2425834780251829,0.0454066642857142,6.3e-05,5e-05,0.5607595124142019,0.1869734272711092,5.342464192012975,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 22:52:45,120.015223,43095,359.0794477797204,51078,425.5960095995489,17268.34063064001,131.40905840405375,160.15816326530611,91.5,54,1.5674299191962278,0.8078450949621241,0.8204955384407804,1279.6206233120065,35.771785296683284,51.026458671768715,43.8012295,41.235968,0.6059436881758279,0.2736930961250198,0.7010438550475904,0.0102915150722659,0.1014471047998214,0.1243191984732824,0.103079,0.000608,0.6281164508891878,1.2194650474983315,0.8160212263725583,False
